Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
625,Ameen Al-Dakhil,be,DF,,Burnley,Premier League,21,2002,11.7,1,8,3,37.5,0.68,0.26,0.13,0.33,16.0,0,0,0,1.3,1.3,0.16,-0.3,-0.3
626,Thijs Dallinga,nl,FW,,Toulouse,Ligue 1,22,2000,27.9,14,81,32,39.5,2.90,1.15,0.16,0.41,13.3,1,1,3,14.1,11.8,0.15,-0.1,+1.2
627,Diogo Dalot,pt,DF,,Manchester Utd,Premier League,24,1999,35.3,2,30,7,23.3,0.85,0.20,0.07,0.29,21.0,0,0,0,1.7,1.7,0.06,+0.3,+0.3
628,Mikkel Damsgaard,dk,MF,,Brentford,Premier League,23,2000,9.4,0,9,4,44.4,0.96,0.43,0.00,0.00,18.0,1,0,0,0.9,0.9,0.10,-0.9,-0.9
629,Flavius Daniliuc,at,DF,,Salernitana,it Serie A,22,2001,8.3,0,2,0,0.0,0.24,0.00,0.00,,15.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2
630,Danilo,br,MF,,Nott'ham Forest,Premier League,22,2001,19.9,2,23,7,30.4,1.16,0.35,0.09,0.29,21.0,0,0,0,1.8,1.8,0.08,+0.2,+0.2
631,Danilo,br,DF,,Juventus,it Serie A,32,1991,27.2,1,17,2,11.8,0.62,0.07,0.06,0.50,19.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3
632,Arnaut Danjuma,nl,MF,FW,Everton,Premier League,26,1997,6.6,1,25,9,36.0,3.78,1.36,0.04,0.11,16.0,1,0,0,2.6,2.6,0.10,-1.6,-1.6
633,Jayden Danns,eng,FW,,Liverpool,Premier League,17,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
634,Kevin Danso,at,DF,,Lens,Ligue 1,24,1998,29.5,1,21,5,23.8,0.71,0.17,0.05,0.20,14.2,0,0,0,1.8,1.8,0.09,-0.8,-0.8
635,Dante,br,DF,,Nice,Ligue 1,39,1983,31.6,1,15,5,33.3,0.47,0.16,0.07,0.20,13.9,0,0,0,0.9,0.9,0.06,+0.1,+0.1
636,Raimane Daou,km,DF,MF,Marseille,Ligue 1,18,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
637,Mohammed Daramy,dk,FW,MF,Reims,Ligue 1,21,2002,18.3,4,30,10,33.3,1.64,0.55,0.10,0.30,14.8,0,1,1,4.6,3.8,0.13,-0.6,-0.8
638,Sergi Darder,es,MF,,Mallorca,La Liga,29,1993,24.0,2,32,12,37.5,1.34,0.50,0.06,0.17,22.4,1,0,0,2.2,2.2,0.07,-0.2,-0.2
639,Achraf Dari,ma,DF,FW,Brest,Ligue 1,24,1999,1.3,0,1,1,100.0,0.74,0.74,0.00,0.00,14.4,0,0,0,0.0,0.0,0.05,0.0,0.0
640,Matteo Darmian,it,DF,,Inter,it Serie A,33,1989,26.7,2,10,5,50.0,0.37,0.19,0.20,0.40,15.7,0,0,0,1.2,1.2,0.12,+0.8,+0.8
641,Lukas Daschner,de,MF,FW,Bochum,Bundesliga,24,1998,6.0,1,13,5,38.5,2.18,0.84,0.08,0.20,16.7,0,0,0,2.3,2.3,0.18,-1.3,-1.3
642,Josh Dasilva,eng,DF,FW,Brentford,Premier League,24,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
643,David Datro Fofana,ci,FW,,Burnley,Premier League,20,2002,9.8,4,19,10,52.6,1.95,1.02,0.21,0.40,14.0,0,0,0,4.5,4.5,0.24,-0.5,-0.5
644,David Datro Fofana,ci,FW,MF,Union Berlin,Bundesliga,20,2002,7.6,1,26,12,46.2,3.43,1.58,0.04,0.08,15.6,4,0,0,2.8,2.8,0.11,-1.8,-1.8
645,Juan David Cabal,co,DF,,Hellas Verona,it Serie A,22,2001,16.6,0,12,3,25.0,0.72,0.18,0.00,0.00,17.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5
646,Jonathan David,ca,FW,,Lille,Ligue 1,23,2000,29.2,19,76,43,56.6,2.60,1.47,0.22,0.40,14.1,0,2,3,17.5,15.0,0.20,+1.5,+2.0
647,Alphonso Davies,ca,DF,,Bayern Munich,Bundesliga,22,2000,22.9,2,13,4,30.8,0.57,0.17,0.15,0.50,22.2,0,0,0,1.0,1.0,0.08,+1.0,+1.0
648,Ben Davies,wls,DF,,Tottenham,Premier League,30,1993,12.1,1,12,2,16.7,0.99,0.17,0.08,0.50,11.8,0,0,0,2.3,2.3,0.19,-1.3,-1.3
649,Tom Davies,eng,MF,,Sheffield Utd,Premier League,25,1998,2.5,0,4,1,25.0,1.63,0.41,0.00,0.00,15.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4
650,Keinan Davis,eng,FW,MF,Udinese,it Serie A,25,1998,2.1,1,6,3,50.0,2.90,1.45,0.17,0.33,14.9,0,0,0,0.5,0.5,0.08,+0.5,+0.5
651,Paweł Dawidowicz,pl,DF,,Hellas Verona,it Serie A,28,1995,23.8,0,9,1,11.1,0.38,0.04,0.00,0.00,11.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5
652,Craig Dawson,eng,DF,,Wolves,Premier League,33,1990,24.5,1,16,5,31.3,0.65,0.20,0.06,0.20,11.2,0,0,0,1.5,1.5,0.09,-0.5,-0.5
653,Kevin De Bruyne,be,MF,,Manchester City,Premier League,32,1991,13.6,4,44,17,38.6,3.24,1.25,0.09,0.24,21.4,6,0,0,2.4,2.4,0.05,+1.6,+1.6
654,Charles De Ketelaere,be,FW,MF,Atalanta,it Serie A,22,2001,22.5,10,44,24,54.5,1.95,1.07,0.20,0.38,14.2,0,1,1,7.1,6.3,0.14,+2.9,+2.7
655,Rodrigo De Paul,ar,MF,,Atlético Madrid,La Liga,29,1994,23.1,3,30,12,40.0,1.30,0.52,0.10,0.25,19.8,1,0,0,1.8,1.8,0.06,+1.2,+1.2
656,Mattia De Sciglio,it,DF,,Juventus,it Serie A,30,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
657,Lorenzo De Silvestri,it,DF,,Bologna,it Serie A,35,1988,7.5,2,4,2,50.0,0.53,0.27,0.50,1.00,17.8,0,0,0,0.2,0.2,0.05,+1.8,+1.8
658,Thibault De Smet,be,DF,,Reims,Ligue 1,25,1998,20.3,0,4,0,0.0,0.20,0.00,0.00,,15.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
659,Koni De Winter,be,DF,,Genoa,it Serie A,21,2002,26.4,0,11,1,9.1,0.42,0.04,0.00,0.00,9.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8
660,Grégoire Defrel,mq,FW,MF,Sassuolo,it Serie A,32,1991,8.4,1,12,3,25.0,1.43,0.36,0.08,0.33,21.5,0,0,0,1.0,1.0,0.08,0.0,0.0
661,Alessandro Deiola,it,MF,,Cagliari,it Serie A,27,1995,17.9,1,25,6,24.0,1.40,0.34,0.04,0.17,17.2,2,0,0,2.5,2.5,0.10,-1.5,-1.5
662,Romain Del Castillo,fr,FW,,Brest,Ligue 1,27,1996,27.7,8,37,14,37.8,1.33,0.50,0.14,0.36,20.3,3,3,3,5.2,2.9,0.08,+2.8,+2.1
663,Thomas Delaine,fr,DF,MF,Strasbourg,Ligue 1,31,1992,22.7,1,12,2,16.7,0.53,0.09,0.08,0.50,15.1,0,0,0,1.7,1.7,0.14,-0.7,-0.7
664,Sacha Delaye,fr,MF,FW,Montpellier,Ligue 1,21,2002,1.4,0,5,2,40.0,3.46,1.38,0.00,0.00,21.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3
665,Hannes Delcroix,be,DF,,Burnley,Premier League,24,1999,6.5,0,4,2,50.0,0.61,0.31,0.00,0.00,11.2,0,0,0,0.4,0.4,0.09,-0.4,-0.4
666,Alessandro Dellavalle,it,DF,,Torino,it Serie A,19,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
667,Olivier Deman,be,DF,,Werder Bremen,Bundesliga,23,2000,15.2,2,17,7,41.2,1.12,0.46,0.12,0.29,14.2,0,0,0,1.1,1.1,0.06,+0.9,+0.9
668,Karamoko Dembélé,eng,MF,FW,Brest,Ligue 1,20,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
669,Ousmane Dembélé,fr,MF,FW,Paris S-G,Ligue 1,26,1997,16.7,3,43,14,32.6,2.57,0.84,0.07,0.21,17.1,0,0,0,4.4,4.4,0.10,-1.4,-1.4
670,Jessy Deminguet,fr,MF,FW,Strasbourg,Ligue 1,25,1998,7.7,0,3,1,33.3,0.39,0.13,0.00,0.00,9.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3
671,Ermedin Demirović,ba,FW,MF,Augsburg,Bundesliga,25,1998,31.9,15,77,32,41.6,2.41,1.00,0.16,0.38,14.0,0,3,4,13.5,10.3,0.13,+1.5,+1.7
672,Diego Demme,de,MF,,Napoli,it Serie A,31,1991,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
673,Sepp van den Berg,nl,DF,,Mainz 05,Bundesliga,21,2001,31.5,3,25,11,44.0,0.79,0.35,0.12,0.27,9.1,0,0,0,2.7,2.7,0.11,+0.3,+0.3
674,Leander Dendoncker,be,MF,,Aston Villa,Premier League,28,1995,1.3,1,2,1,50.0,1.51,0.76,0.50,1.00,12.5,0,0,0,0.7,0.7,0.37,+0.3,+0.3
675,Leander Dendoncker,be,MF,,Napoli,it Serie A,28,1995,0.3,0,1,0,0.0,3.75,0.00,0.00,,28.2,0,0,0,0.0,0.0,0.03,0.0,0.0
676,Rémy Descamps,fr,GK,,Nantes,Ligue 1,27,1996,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
677,Mikkel Desler,dk,DF,,Toulouse,Ligue 1,28,1995,17.2,0,16,0,0.0,0.93,0.00,0.00,,18.3,0,0,0,1.1,1.0,0.06,-1.1,-1.0
678,Arthur Desmas,fr,GK,,Le Havre,Ligue 1,29,1994,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
679,Mattia Destro,it,FW,MF,Empoli,it Serie A,32,1991,4.1,0,11,4,36.4,2.70,0.98,0.00,0.00,15.0,0,0,0,1.2,1.2,0.11,-1.2,-1.2
680,Samuele Di Benedetto,de,MF,,Stuttgart,Bundesliga,18,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
681,Federico Di Francesco,it,FW,MF,Lecce,it Serie A,29,1994,0.2,1,2,1,50.0,12.00,6.00,0.50,1.00,31.9,0,0,0,0.1,0.1,0.04,+0.9,+0.9
682,Raffaele Di Gennaro,it,GK,,Inter,it Serie A,29,1993,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
683,Michele Di Gregorio,it,GK,,Monza,it Serie A,26,1997,31.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
684,Giovanni Di Lorenzo,it,DF,,Napoli,it Serie A,29,1993,35.9,1,37,6,16.2,1.03,0.17,0.03,0.17,13.4,0,0,0,3.1,3.1,0.08,-2.1,-2.1
685,Alessandro Di Pardo,it,DF,MF,Cagliari,it Serie A,24,1999,4.0,0,3,0,0.0,0.75,0.00,0.00,,24.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
686,Boulaye Dia,sn,FW,MF,Salernitana,it Serie A,26,1996,12.7,4,28,9,32.1,2.20,0.71,0.11,0.33,16.0,0,1,1,3.9,3.1,0.11,+0.1,-0.1
687,Moussa Diaby,fr,FW,MF,Aston Villa,Premier League,24,1999,24.2,6,54,22,40.7,2.24,0.91,0.11,0.27,15.9,0,0,0,7.0,7.0,0.13,-1.0,-1.0
688,Lamine Diack,sn,MF,,Nantes,Ligue 1,22,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
689,Mouctar Diakhaby,gn,DF,MF,Valencia,La Liga,26,1996,11.9,1,7,3,42.9,0.59,0.25,0.14,0.33,13.9,0,0,0,0.7,0.7,0.10,+0.3,+0.3
690,Mamadou Diakhon,fr,FW,MF,Reims,Ligue 1,17,2005,2.3,0,1,1,100.0,0.43,0.43,0.00,0.00,20.3,0,0,0,0.0,0.0,0.01,0.0,0.0
691,Bafodé Diakité,fr,DF,,Lille,Ligue 1,22,2001,18.8,5,16,7,43.8,0.85,0.37,0.31,0.71,8.7,0,0,0,2.0,2.0,0.13,+3.0,+3.0
692,Ibrahim Diakité,gn,DF,,Reims,Ligue 1,19,2003,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
693,Moussa Diakité,ml,MF,,Cádiz,La Liga,19,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
694,Oumar Diakité,ci,FW,,Reims,Ligue 1,19,2003,17.6,5,35,11,31.4,1.99,0.62,0.14,0.45,14.8,0,0,1,7.0,6.2,0.18,-2.0,-1.2
695,Amad Diallo,ci,FW,MF,Manchester Utd,Premier League,21,2002,4.3,1,10,4,40.0,2.31,0.92,0.10,0.25,19.3,0,0,0,0.5,0.5,0.05,+0.5,+0.5
696,Amadou Diallo,eng,MF,,Newcastle Utd,Premier League,20,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
697,Assane Diao,es,FW,,Betis,La Liga,17,2005,11.6,2,21,3,14.3,1.80,0.26,0.10,0.67,13.7,0,0,0,2.5,2.5,0.12,-0.5,-0.5
698,Habib Diarra,sn,MF,FW,Strasbourg,Ligue 1,19,2004,25.6,3,38,14,36.8,1.48,0.55,0.05,0.14,21.2,1,1,1,3.4,2.7,0.07,-0.4,-0.7
699,Moussa Diarra,ml,DF,,Toulouse,Ligue 1,22,2000,15.5,1,5,2,40.0,0.32,0.13,0.20,0.50,14.0,0,0,0,0.5,0.5,0.09,+0.5,+0.5
700,Rúben Dias,pt,DF,,Manchester City,Premier League,26,1997,28.4,0,20,8,40.0,0.70,0.28,0.00,0.00,15.2,0,0,0,1.4,1.4,0.07,-1.4,-1.4
701,Krépin Diatta,sn,DF,FW,Monaco,Ligue 1,24,1999,13.4,0,9,0,0.0,0.67,0.00,0.00,,23.5,1,0,0,0.5,0.5,0.06,-0.5,-0.5
702,Mory Diaw,sn,GK,,Clermont Foot,Ligue 1,30,1993,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
703,Mahamadou Diawara,fr,MF,,Lyon,Ligue 1,18,2005,4.0,0,6,0,0.0,1.51,0.00,0.00,,15.3,0,0,0,0.7,0.7,0.12,-0.7,-0.7
704,Brahim Díaz,ma,FW,MF,Real Madrid,La Liga,23,1999,17.2,8,38,17,44.7,2.21,0.99,0.21,0.47,16.0,0,0,0,5.7,5.7,0.15,+2.3,+2.3
705,Luis Díaz,co,FW,,Liverpool,Premier League,26,1997,29.2,8,94,32,34.0,3.22,1.10,0.09,0.25,15.0,0,0,0,11.9,11.9,0.13,-3.9,-3.9
706,Víctor Díaz,es,DF,MF,Granada,La Liga,35,1988,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
707,Famara Diedhiou,sn,FW,MF,Granada,La Liga,30,1992,1.0,0,5,3,60.0,5.06,3.03,0.00,0.00,18.1,0,0,0,0.5,0.5,0.10,-0.5,-0.5
708,Justin Diehl,de,FW,MF,Köln,Bundesliga,18,2004,1.9,0,7,2,28.6,3.75,1.07,0.00,0.00,23.1,1,0,0,0.2,0.2,0.03,-0.2,-0.2
709,Bamba Dieng,sn,FW,,Lorient,Ligue 1,23,2000,6.1,4,17,7,41.2,2.79,1.15,0.24,0.57,16.1,2,0,0,3.2,3.2,0.19,+0.8,+0.8
710,Eric Dier,eng,DF,,Tottenham,Premier League,29,1994,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
711,Eric Dier,eng,DF,,Bayern Munich,Bundesliga,29,1994,13.0,0,9,3,33.3,0.69,0.23,0.00,0.00,10.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7
712,Guillaume Dietsch,fr,GK,,Metz,Ligue 1,22,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
713,Florian Dietz,de,FW,MF,Köln,Bundesliga,24,1998,0.8,0,3,1,33.3,3.86,1.29,0.00,0.00,15.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3
714,Lucas Digne,fr,DF,,Aston Villa,Premier League,30,1993,26.8,1,20,4,20.0,0.75,0.15,0.05,0.25,20.0,6,0,0,1.1,1.1,0.05,-0.1,-0.1
715,Federico Dimarco,it,DF,,Inter,it Serie A,25,1997,23.1,5,51,19,37.3,2.21,0.82,0.10,0.26,21.0,3,0,0,2.9,2.7,0.05,+2.1,+2.3
716,Stole Dimitrievski,mk,GK,,Rayo Vallecano,La Liga,29,1993,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
717,Junior Dina Ebimbe,fr,MF,DF,Eint Frankfurt,Bundesliga,22,2000,21.7,5,52,15,28.8,2.39,0.69,0.10,0.33,15.1,0,0,0,5.0,5.0,0.10,0.0,0.0
718,Eren Dinkçi,de,FW,MF,Heidenheim,Bundesliga,21,2001,29.4,10,49,21,42.9,1.66,0.71,0.20,0.48,19.7,0,0,0,4.3,4.3,0.09,+5.7,+5.7
719,Sinaly Diomande,ci,DF,,Lyon,Ligue 1,22,2001,9.9,0,6,1,16.7,0.61,0.10,0.00,0.00,11.1,0,0,0,1.0,1.0,0.17,-1.0,-1.0
720,Edan Diop,fr,MF,DF,Monaco,Ligue 1,18,2004,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
721,Issa Diop,fr,DF,,Fulham,Premier League,26,1997,15.8,0,5,1,20.0,0.32,0.06,0.00,0.00,14.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
722,Sofiane Diop,fr,FW,,Nice,Ligue 1,23,2000,5.5,0,14,6,42.9,2.53,1.08,0.00,0.00,20.7,2,0,0,1.2,1.2,0.09,-1.2,-1.2
723,Andy Diouf,fr,MF,,Lens,Ligue 1,20,2003,14.6,1,27,8,29.6,1.85,0.55,0.04,0.13,24.1,1,0,0,1.5,1.5,0.06,-0.5,-0.5
724,Yehvann Diouf,fr,GK,,Reims,Ligue 1,23,1999,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
725,Axel Disasi,fr,DF,,Chelsea,Premier League,25,1998,28.7,2,16,4,25.0,0.56,0.14,0.13,0.50,10.3,0,0,0,2.4,2.4,0.15,-0.4,-0.4
726,Tiago Djaló,pt,DF,,Juventus,it Serie A,23,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
727,Chaim El Djebali,tn,MF,,Lyon,Ligue 1,19,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
728,Djené,tg,DF,MF,Getafe,La Liga,31,1991,27.6,0,6,1,16.7,0.22,0.04,0.00,0.00,23.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
729,Koffi Djidji,ci,DF,,Torino,it Serie A,30,1992,8.4,0,2,0,0.0,0.24,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
730,Berat Djimsiti,al,DF,,Atalanta,it Serie A,30,1993,31.5,0,13,0,0.0,0.41,0.00,0.00,,10.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8
731,Marko Dmitrović,rs,GK,,Sevilla,La Liga,31,1992,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
732,Ben Doak,sct,FW,,Liverpool,Premier League,17,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
733,Ritsu Doan,jp,DF,MF,Freiburg,Bundesliga,25,1998,25.0,7,37,19,51.4,1.48,0.76,0.19,0.37,15.4,0,0,0,5.0,5.0,0.13,+2.0,+2.0
734,Lewis Dobbin,eng,MF,,Everton,Premier League,20,2003,2.6,1,5,2,40.0,1.94,0.78,0.20,0.50,15.6,0,0,0,0.3,0.3,0.06,+0.7,+0.7
735,Dodô,br,DF,,Fiorentina,it Serie A,24,1998,5.8,0,2,1,50.0,0.34,0.17,0.00,0.00,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
736,Danilho Doekhi,nl,DF,,Union Berlin,Bundesliga,25,1998,24.0,2,16,2,12.5,0.67,0.08,0.13,1.00,10.0,0,0,0,1.2,1.2,0.07,+0.8,+0.8
737,Matt Doherty,ie,DF,MF,Wolves,Premier League,31,1992,12.8,1,9,3,33.3,0.70,0.23,0.11,0.33,10.8,0,0,0,0.8,0.8,0.09,+0.2,+0.2
738,Josh Doig,sct,DF,,Hellas Verona,it Serie A,21,2002,9.2,0,5,1,20.0,0.54,0.11,0.00,0.00,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
739,Josh Doig,sct,DF,,Sassuolo,it Serie A,21,2002,14.9,0,8,2,25.0,0.54,0.13,0.00,0.00,20.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2
740,Jeremy Doku,be,FW,MF,Manchester City,Premier League,21,2002,17.7,3,55,19,34.5,3.10,1.07,0.05,0.16,16.4,0,0,0,2.5,2.5,0.05,+0.5,+0.5
741,Jeremy Doku,be,FW,,Rennes,Ligue 1,21,2002,1.2,1,6,4,66.7,4.86,3.24,0.17,0.25,13.6,0,0,0,0.6,0.6,0.10,+0.4,+0.4
742,Jaume Doménech,es,GK,,Valencia,La Liga,32,1990,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
743,Carlos Dominguez,es,DF,,Celta Vigo,La Liga,22,2001,17.6,0,5,0,0.0,0.28,0.00,0.00,,15.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3
744,Mario Dominguez,es,FW,,Valencia,La Liga,19,2004,0.3,0,3,1,33.3,10.80,3.60,0.00,0.00,17.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
745,Nicolás Domínguez,ar,MF,FW,Nott'ham Forest,Premier League,25,1998,16.6,2,22,6,27.3,1.32,0.36,0.09,0.33,16.9,0,0,0,1.3,1.3,0.06,+0.7,+0.7
746,Nicolás Domínguez,ar,MF,,Bologna,it Serie A,25,1998,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
747,Giulio Donati,it,DF,,Monza,it Serie A,33,1990,0.4,0,1,1,100.0,2.50,2.50,0.00,0.00,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0
748,Jamie Donley,eng,FW,,Tottenham,Premier League,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
749,Gianluigi Donnarumma,it,GK,,Paris S-G,Ligue 1,24,1999,24.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
750,Patrick Dorgu,dk,DF,MF,Lecce,it Serie A,18,2004,17.4,2,18,7,38.9,1.04,0.40,0.11,0.29,17.8,0,0,0,2.0,2.0,0.11,0.0,0.0
751,Niklas Dorsch,de,MF,,Augsburg,Bundesliga,25,1998,15.4,0,14,0,0.0,0.91,0.00,0.00,,25.1,2,0,0,0.7,0.7,0.05,-0.7,-0.7
752,Alberto Dossena,it,DF,,Cagliari,it Serie A,24,1998,33.1,2,24,6,25.0,0.73,0.18,0.08,0.33,11.3,0,0,0,2.2,2.2,0.09,-0.2,-0.2
753,Carlos Dotor,es,MF,,Celta Vigo,La Liga,22,2001,7.9,0,4,0,0.0,0.51,0.00,0.00,,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
754,Abdoulaye Doucouré,ml,FW,MF,Everton,Premier League,30,1993,29.2,7,47,21,44.7,1.61,0.72,0.15,0.33,12.2,0,0,0,8.8,8.8,0.20,-1.8,-1.8
755,Cheick Doucouré,ml,MF,,Crystal Palace,Premier League,23,2000,10.2,0,6,2,33.3,0.59,0.20,0.00,0.00,21.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
756,Siriné Doucouré,ml,FW,,Lorient,Ligue 1,21,2002,4.7,1,9,5,55.6,1.91,1.06,0.11,0.20,12.6,0,0,0,0.9,0.9,0.10,+0.1,+0.1
757,Désiré Doué,fr,MF,FW,Rennes,Ligue 1,18,2005,18.1,4,34,13,38.2,1.88,0.72,0.12,0.31,19.1,0,0,0,2.4,2.4,0.07,+1.6,+1.6
758,Guela Doué,ci,DF,,Rennes,Ligue 1,20,2002,13.7,0,15,3,20.0,1.09,0.22,0.00,0.00,22.0,0,0,0,0.5,0.5,0.03,-0.5,-0.5
759,Alfie Doughty,eng,DF,,Luton Town,Premier League,23,1999,32.5,2,26,8,30.8,0.80,0.25,0.08,0.25,16.3,2,0,0,1.3,1.3,0.05,+0.7,+0.7
760,Douglas,br,MF,,Nantes,Ligue 1,26,1997,19.7,0,16,5,31.3,0.81,0.25,0.00,0.00,20.0,0,0,0,1.2,1.2,0.07,-1.2,-1.2
761,Ismaël Doukouré,fr,MF,DF,Strasbourg,Ligue 1,20,2003,18.4,0,9,0,0.0,0.49,0.00,0.00,,25.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3
762,Kamory Doumbia,ml,MF,,Brest,Ligue 1,20,2003,9.8,6,25,11,44.0,2.56,1.13,0.24,0.55,17.1,0,0,0,4.2,4.2,0.17,+1.8,+1.8
763,Anastasios Douvikas,gr,FW,,Celta Vigo,La Liga,23,1999,10.1,7,26,15,57.7,2.59,1.49,0.27,0.47,13.5,0,0,0,4.6,4.6,0.18,+2.4,+2.4
764,Artem Dovbyk,ua,FW,,Girona,La Liga,26,1997,28.7,24,77,36,46.8,2.68,1.25,0.22,0.47,12.4,1,7,8,24.2,17.9,0.23,-0.2,-0.9
765,Nikola Dovedan,at,MF,FW,Heidenheim,Bundesliga,29,1994,7.3,3,14,5,35.7,1.92,0.69,0.21,0.60,16.1,0,0,0,1.9,1.9,0.14,+1.1,+1.1
766,Damion Downs,us,FW,MF,Köln,Bundesliga,19,2004,2.0,2,5,2,40.0,2.49,0.99,0.40,1.00,10.9,0,0,0,1.0,1.0,0.21,+1.0,+1.0
767,Tommy Doyle,eng,MF,,Wolves,Premier League,21,2001,13.6,0,14,3,21.4,1.03,0.22,0.00,0.00,26.2,2,0,0,0.4,0.4,0.03,-0.4,-0.4
768,Radu Drăgușin,ro,DF,,Tottenham,Premier League,21,2002,4.8,0,1,0,0.0,0.21,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1
769,Radu Drăgușin,ro,DF,,Genoa,it Serie A,21,2002,19.0,2,17,4,23.5,0.89,0.21,0.12,0.50,12.5,0,0,0,1.0,1.0,0.06,+1.0,+1.0
770,Dion Drena Beljo,hr,FW,MF,Augsburg,Bundesliga,21,2002,6.5,2,19,7,36.8,2.94,1.08,0.11,0.29,13.4,0,0,0,3.0,3.0,0.16,-1.0,-1.0
771,Tim Drexler,de,DF,,Hoffenheim,Bundesliga,18,2005,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
772,Domingos Duarte,pt,DF,,Getafe,La Liga,28,1995,10.1,0,1,0,0.0,0.10,0.00,0.00,,2.8,0,0,0,0.3,0.3,0.27,-0.3,-0.3
