Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
135,Yoël Armougom,fr,DF,MF,Clermont Foot,Ligue 1,25,1998,2.6,148,5,26,72,50,1,148,3,1,33.3,1,33.3,105,601,358,6,5,0,2,0,104,25
136,José Arnaiz,es,FW,MF,Osasuna,La Liga,28,1995,10.3,449,3,37,158,256,30,449,29,11,37.9,15,51.7,259,1677,747,23,20,7,27,24,299,85
137,Hákon Arnar Haraldsson,is,FW,MF,Lille,Ligue 1,20,2003,14.3,664,9,81,353,240,38,664,36,15,41.7,17,47.2,552,3212,1338,25,27,9,27,15,528,90
138,Marko Arnautović,at,FW,,Inter,Serie A,34,1989,8.9,358,8,25,169,165,41,358,6,1,16.7,5,83.3,208,819,272,12,8,4,22,10,281,77
139,Maximilian Arnold,de,MF,,Wolfsburg,Bundesliga,29,1994,27.8,1827,91,429,1089,324,5,1827,11,7,63.6,3,27.3,988,4240,1846,20,15,1,20,17,1163,19
140,Mohamed El Arouch,fr,FW,,Lyon,Ligue 1,19,2004,0.0,2,0,1,2,0,0,2,1,1,100.0,0,0.0,1,8,6,0,0,0,0,0,0,0
141,Sergio Arribas,es,MF,FW,Almería,La Liga,21,2001,22.7,1010,13,118,498,411,78,1010,49,16,32.7,31,63.3,554,3041,1685,56,39,12,40,16,648,94
142,Kepa Arrizabalaga,es,GK,,Real Madrid,La Liga,28,1994,13.3,474,412,471,3,0,0,474,0,0,,0,,313,1259,808,0,0,0,0,0,300,0
143,Arthur,br,DF,,Leverkusen,Bundesliga,20,2003,2.0,131,7,35,42,56,8,131,5,2,40.0,3,60.0,79,485,307,8,6,2,2,3,88,28
144,Takuma Asano,jp,FW,MF,Bochum,Bundesliga,28,1994,22.1,636,17,71,218,363,95,636,37,16,43.2,18,48.6,378,2790,1280,56,27,28,47,33,428,167
145,Marco Asensio,es,MF,FW,Paris S-G,Ligue 1,27,1996,12.4,747,6,74,323,358,38,747,22,10,45.5,10,45.5,612,3466,1413,36,36,6,13,9,586,92
146,Kristjan Asllani,al,MF,,Inter,Serie A,21,2002,8.7,813,19,197,483,136,3,813,5,3,60.0,2,40.0,547,2487,1030,5,7,0,6,3,636,8
147,Joel Asoro,se,FW,MF,Metz,Ligue 1,24,1999,9.4,263,7,59,111,101,11,263,35,12,34.3,19,54.3,178,1286,475,14,13,0,26,17,167,43
