Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
12,Abner,br,DF,,Betis,La Liga,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8,16,25,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.27,0.25,0.27
13,Zakaria Aboukhlal,ma,FW,MF,Toulouse,Ligue 1,22,2000,37,28,2473,27.5,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100,72,276,0.36,0.18,0.55,0.36,0.55,0.42,0.12,0.54,0.42,0.54
14,Tammy Abraham,eng,FW,,Roma,Serie A,24,1997,38,24,2189,24.3,8,3,11,8,0,0,2,0,10.8,10.8,3.6,14.5,35,54,141,0.33,0.12,0.45,0.33,0.45,0.45,0.15,0.60,0.45,0.60
15,Christian Acella,it,MF,,Cremonese,Serie A,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Francesco Acerbi,it,DF,,Inter,Serie A,34,1988,31,25,2425,26.9,0,2,2,0,0,0,4,0,1.0,1.0,1.1,2.1,39,100,32,0.00,0.07,0.07,0.00,0.07,0.04,0.04,0.08,0.04,0.08
17,Álvaro Aceves,es,GK,,Valladolid,La Liga,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,Mohamed Achi,fr,FW,,Nantes,Ligue 1,20,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,3,1,0.00,0.00,0.00,0.00,0.00,0.30,0.08,0.39,0.30,0.39
19,Marcos Acuña,ar,DF,,Sevilla,La Liga,30,1991,30,21,1912,21.2,3,2,5,3,0,0,10,3,1.2,1.2,4.3,5.5,49,102,94,0.14,0.09,0.24,0.14,0.24,0.05,0.20,0.26,0.05,0.26
20,Che Adams,sct,FW,,Southampton,Premier League,26,1996,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.7,6.7,2.8,9.5,17,34,115,0.23,0.14,0.36,0.23,0.36,0.30,0.13,0.43,0.30,0.43
21,Tyler Adams,us,MF,,Leeds United,Premier League,23,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
22,Sargis Adamyan,am,FW,MF,Köln,Bundesliga,29,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,12,24,58,0.14,0.28,0.42,0.14,0.42,0.47,0.11,0.58,0.47,0.58
23,Tosin Adarabioyo,eng,DF,,Fulham,Premier League,24,1997,25,23,2085,23.2,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16,95,3,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05
24,Martin Adeline,fr,MF,FW,Reims,Ligue 1,18,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
25,Karim Adeyemi,de,FW,MF,Dortmund,Bundesliga,20,2002,24,20,1386,15.4,6,5,11,6,0,1,9,0,5.0,4.3,3.7,8.0,49,47,131,0.39,0.32,0.71,0.39,0.71,0.33,0.24,0.57,0.28,0.52
26,Amine Adli,ma,FW,MF,Leverkusen,Bundesliga,22,2000,26,16,1435,15.9,5,3,8,5,0,0,2,2,5.0,5.0,1.7,6.7,46,49,137,0.31,0.19,0.50,0.31,0.50,0.31,0.11,0.42,0.31,0.42
27,Yacine Adli,fr,MF,FW,Milan,Serie A,22,2000,6,1,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7,10,8,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.22,0.05,0.22
28,Michel Aebischer,ch,FW,MF,Bologna,Serie A,25,1997,32,18,1542,17.1,1,0,1,1,0,0,4,0,1.5,1.5,0.6,2.1,14,46,85,0.06,0.00,0.06,0.06,0.06,0.08,0.04,0.12,0.08,0.12
29,Felix Afena-Gyan,gh,FW,MF,Cremonese,Serie A,19,2003,23,7,817,9.1,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,22,8,54,0.00,0.00,0.00,0.00,0.00,0.21,0.02,0.22,0.21,0.22
30,Emmanuel Agbadou,ci,DF,,Reims,Ligue 1,25,1997,29,27,2388,26.5,0,3,3,0,0,0,5,3,1.7,1.7,2.4,4.1,15,131,8,0.00,0.11,0.11,0.00,0.11,0.06,0.09,0.15,0.06,0.15
31,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Lucien Agoume,fr,MF,,Troyes,Ligue 1,20,2002,15,14,1094,12.2,0,1,1,0,0,0,5,0,0.8,0.8,1.1,1.9,9,93,10,0.00,0.08,0.08,0.00,0.08,0.07,0.09,0.16,0.07,0.16
33,Felix Agu,de,DF,FW,Werder Bremen,Bundesliga,22,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.22,0.07,0.22
34,Álvaro Aguado,es,MF,,Valladolid,La Liga,26,1996,34,18,1888,21.0,1,2,3,1,0,0,4,0,1.0,1.0,2.2,3.2,29,139,50,0.05,0.10,0.14,0.05,0.14,0.05,0.11,0.15,0.05,0.15
35,Kevin Agudelo,co,MF,FW,Spezia,Serie A,23,1998,34,23,2131,23.7,0,1,1,0,0,0,5,0,1.5,1.5,3.0,4.5,81,110,100,0.00,0.04,0.04,0.00,0.04,0.06,0.13,0.19,0.06,0.19
36,Nayef Aguerd,ma,DF,,West Ham,Premier League,26,1996,18,17,1595,17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,25,4,0.11,0.00,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15
37,Ruben Aguilar,fr,DF,,Monaco,Ligue 1,29,1993,20,14,1172,13.0,0,0,0,0,0,0,3,0,0.2,0.2,0.9,1.1,29,102,78,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
38,Naouirou Ahamada,fr,MF,FW,Crystal Palace,Premier League,20,2002,8,0,94,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22
39,Naouirou Ahamada,fr,MF,,Stuttgart,Bundesliga,20,2002,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43,56,54,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13
40,Amar Ahmed,se,FW,,Troyes,Ligue 1,18,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Jean-Eudes Aholou,ci,MF,,Strasbourg,Ligue 1,28,1994,30,16,1300,14.4,3,1,4,3,0,0,4,1,1.2,1.2,1.1,2.3,25,50,37,0.21,0.07,0.28,0.21,0.28,0.08,0.08,0.16,0.08,0.16
42,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,26,1995,35,35,3119,34.7,3,0,3,3,0,0,6,1,1.0,1.0,0.1,1.1,15,95,2,0.09,0.00,0.09,0.09,0.09,0.03,0.00,0.03,0.03,0.03
43,Ola Aina,ng,DF,,Torino,Serie A,25,1996,19,9,876,9.7,1,1,2,1,0,0,5,0,0.8,0.8,2.1,2.9,35,43,43,0.10,0.10,0.21,0.10,0.21,0.08,0.21,0.29,0.08,0.29
44,Rayan Aït-Nouri,dz,DF,,Wolves,Premier League,21,2001,21,9,1076,12.0,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.08,0.00,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14
45,Emanuel Aiwum,at,DF,,Cremonese,Serie A,21,2000,23,17,1653,18.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,19,46,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
46,Kristoffer Ajer,no,DF,,Brentford,Premier League,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
47,Ludovic Ajorque,fr,FW,,Strasbourg,Ligue 1,28,1994,13,9,771,8.6,1,0,1,0,1,1,1,0,3.3,2.5,0.8,3.3,2,13,55,0.12,0.00,0.12,0.00,0.00,0.38,0.10,0.48,0.29,0.39
48,Ludovic Ajorque,fr,FW,MF,Mainz 05,Bundesliga,28,1994,17,15,1211,13.5,6,1,7,6,0,0,5,0,4.6,4.6,1.7,6.4,5,31,85,0.45,0.07,0.52,0.45,0.52,0.34,0.13,0.47,0.34,0.47
49,Manuel Akanji,ch,DF,,Manchester City,Premier League,27,1995,29,24,2287,25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.07,0.05,0.07
50,Nathan Aké,nl,DF,,Manchester City,Premier League,27,1995,26,22,1873,20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30,0.05,0.00,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11
51,Sergio Akieme,es,DF,,Almería,La Liga,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,1.5,1.5,2.0,3.5,60,58,84,0.04,0.00,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14
52,Babatunde Akinsola,ng,FW,,Valladolid,La Liga,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,Maghnes Akliouche,fr,MF,FW,Monaco,Ligue 1,20,2002,11,5,402,4.5,0,0,0,0,0,0,3,0,0.5,0.5,0.5,0.9,9,16,42,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21
54,Paul Akouokou,ci,MF,DF,Betis,La Liga,24,1997,12,3,447,5.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,1,10,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
55,Jean-Daniel Akpa-Akpro,ci,MF,FW,Empoli,Serie A,29,1992,24,16,1356,15.1,1,1,2,1,0,0,9,2,1.5,1.5,1.0,2.4,19,39,37,0.07,0.07,0.13,0.07,0.13,0.10,0.06,0.16,0.10,0.16
56,Kevin Akpoguma,ng,DF,,Hoffenheim,Bundesliga,27,1995,28,21,1950,21.7,0,0,0,0,0,0,11,0,0.6,0.6,0.5,1.2,17,85,23,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05
57,David Alaba,at,DF,,Real Madrid,La Liga,30,1992,23,21,1838,20.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,16,67,60,0.05,0.15,0.20,0.05,0.20,0.04,0.05,0.09,0.04,0.09
58,Ángel Alarcón,es,FW,MF,Barcelona,La Liga,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
59,Tomás Alarcón,cl,MF,,Cádiz,La Liga,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2,9,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
60,Lucas Alario,ar,FW,MF,Eint Frankfurt,Bundesliga,29,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0.0,1.5,2,8,17,0.27,0.00,0.27,0.27,0.27,0.39,0.01,0.40,0.39,0.40
61,Jordi Alba,es,DF,,Barcelona,La Liga,33,1989,24,14,1419,15.8,2,3,5,2,0,0,6,1,0.8,0.8,6.2,7.0,42,141,157,0.13,0.19,0.32,0.13,0.32,0.05,0.40,0.44,0.05,0.44
62,Luis Alberto,es,MF,,Lazio,Serie A,29,1992,35,27,2442,27.1,6,7,13,5,1,2,4,0,4.4,2.7,7.0,9.7,73,248,94,0.22,0.26,0.48,0.18,0.44,0.16,0.26,0.42,0.10,0.36
63,Raúl Albiol,es,DF,,Villarreal,La Liga,36,1985,25,24,2119,23.5,0,0,0,0,0,0,6,0,0.1,0.1,0.0,0.1,12,100,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
64,Marc Albrighton,eng,FW,MF,Leicester City,Premier League,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48
65,Thiago Alcántara,es,MF,,Liverpool,Premier League,31,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11
66,Carlos Alcaraz,ar,MF,FW,Southampton,Premier League,19,2002,18,13,1029,11.4,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,28,32,0.35,0.17,0.52,0.35,0.52,0.17,0.06,0.23,0.17,0.23
67,Rubén Alcaraz,es,MF,,Cádiz,La Liga,31,1991,31,22,2043,22.7,3,0,3,1,2,3,11,1,4.0,1.6,1.3,2.9,30,105,20,0.13,0.00,0.13,0.04,0.04,0.18,0.06,0.23,0.07,0.13
68,Omar Alderete,py,DF,,Getafe,La Liga,25,1996,25,23,2047,22.7,1,1,2,1,0,0,9,0,0.6,0.6,0.8,1.4,28,96,8,0.04,0.04,0.09,0.04,0.09,0.03,0.03,0.06,0.03,0.06
69,Iván Alejo,es,MF,FW,Cádiz,La Liga,27,1995,31,13,1311,14.6,0,1,1,0,0,0,13,1,1.2,1.2,2.4,3.6,52,16,103,0.00,0.07,0.07,0.00,0.07,0.08,0.17,0.25,0.08,0.25
70,Doğan Alemdar,tr,GK,,Rennes,Ligue 1,19,2002,6,4,406,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
71,Carles Aleñá,es,MF,FW,Getafe,La Liga,24,1998,35,26,2119,23.5,2,2,4,2,0,0,12,1,2.3,2.3,1.6,3.9,24,87,78,0.08,0.08,0.17,0.08,0.17,0.10,0.07,0.17,0.10,0.17
72,Trent Alexander-Arnold,eng,DF,,Liverpool,Premier League,23,1998,37,34,2923,32.5,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43,235,139,0.06,0.28,0.34,0.06,0.34,0.07,0.35,0.43,0.07,0.43
73,Alejandro Alfaro,es,MF,,Elche,La Liga,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Ángel Algobia,es,MF,,Getafe,La Liga,23,1999,26,11,1138,12.6,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,10,42,11,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
75,Mohamed Ali Cho,fr,FW,MF,Real Sociedad,La Liga,18,2004,19,5,587,6.5,1,2,3,1,0,0,1,0,1.8,1.8,1.7,3.4,30,8,63,0.15,0.31,0.46,0.15,0.46,0.27,0.25,0.52,0.27,0.52
76,Faride Alidou,de,DF,MF,Eint Frankfurt,Bundesliga,21,2001,15,0,182,2.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,8,16,24,0.00,0.49,0.49,0.00,0.49,0.05,0.24,0.28,0.05,0.28
77,Alisson,br,GK,,Liverpool,Premier League,29,1992,37,37,3330,37.0,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,0,3,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01
78,Jim Allevinah,ga,DF,FW,Clermont Foot,Ligue 1,27,1995,36,25,2244,24.9,1,1,2,1,0,0,2,0,2.5,2.5,2.0,4.5,82,59,141,0.04,0.04,0.08,0.04,0.08,0.10,0.08,0.18,0.10,0.18
79,Dele Alli,eng,MF,,Everton,Premier League,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,Domingos André Ribeiro Almeida,pt,MF,,Valencia,La Liga,22,2000,34,29,2539,28.2,2,4,6,2,0,0,3,0,1.4,1.4,3.4,4.9,74,197,71,0.07,0.14,0.21,0.07,0.21,0.05,0.12,0.17,0.05,0.17
81,Miguel Almirón,py,FW,,Newcastle Utd,Premier League,28,1994,34,29,2491,27.7,11,2,13,11,0,0,2,0,8.0,8.0,3.2,11.1,77,124,264,0.40,0.07,0.47,0.40,0.47,0.29,0.11,0.40,0.29,0.40
82,Marcos Alonso,es,DF,,Barcelona,La Liga,31,1990,24,11,1172,13.0,1,0,1,1,0,0,3,0,0.9,0.9,0.3,1.2,26,71,12,0.08,0.00,0.08,0.08,0.08,0.07,0.03,0.09,0.07,0.09
83,Mickaël Alphonse,gp,DF,,Ajaccio,Ligue 1,33,1989,26,14,1361,15.1,0,0,0,0,0,0,2,1,0.5,0.5,0.6,1.1,30,51,34,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.08,0.03,0.08
84,Éder Álvarez Balanta,co,MF,FW,Schalke 04,Bundesliga,29,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,3,12,0,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15
85,Carlos Álvarez,es,MF,,Sevilla,La Liga,18,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,Gastón Álvarez,uy,DF,,Getafe,La Liga,22,2000,22,16,1501,16.7,2,0,2,2,0,0,7,1,0.5,0.5,0.2,0.8,11,38,27,0.12,0.00,0.12,0.12,0.12,0.03,0.01,0.05,0.03,0.05
87,Julián Álvarez,ar,FW,MF,Manchester City,Premier League,22,2000,31,13,1465,16.3,9,0,9,8,1,1,0,0,7.0,6.2,1.8,8.0,38,37,99,0.55,0.00,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49
88,Agustín Álvarez Martínez,uy,FW,MF,Sassuolo,Serie A,21,2001,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2,6,19,0.24,0.24,0.49,0.24,0.49,0.36,0.10,0.46,0.36,0.46
89,Yeray Álvarez,es,DF,,Athletic Club,La Liga,27,1995,28,27,2332,25.9,1,1,2,1,0,0,7,1,0.8,0.8,1.1,1.9,32,152,8,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07
90,Ibrahim Amadou,fr,DF,MF,Angers,Ligue 1,29,1993,7,4,424,4.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,0,5,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03
91,Selim Amallah,ma,MF,FW,Valladolid,La Liga,25,1996,7,3,267,3.0,2,1,3,2,0,0,2,1,0.9,0.9,0.3,1.1,11,10,9,0.67,0.34,1.01,0.67,1.01,0.29,0.09,0.38,0.29,0.38
92,Daniel Amartey,gh,DF,,Leicester City,Premier League,27,1994,20,18,1610,17.9,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,23,66,5,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09
93,Amath,sn,MF,FW,Mallorca,La Liga,26,1996,28,12,1227,13.6,2,0,2,2,0,0,2,1,2.7,2.7,0.8,3.5,33,16,69,0.15,0.00,0.15,0.15,0.15,0.20,0.06,0.25,0.20,0.25
94,Jordan Amavi,fr,DF,,Getafe,La Liga,28,1994,5,1,200,2.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,4,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,Lukáš Ambros,cz,MF,,Wolfsburg,Bundesliga,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,Kelvin Amian,fr,DF,,Spezia,Serie A,24,1998,30,26,2372,26.4,0,1,1,0,0,0,7,1,2.7,2.7,2.3,5.0,53,102,72,0.00,0.04,0.04,0.00,0.04,0.10,0.09,0.19,0.10,0.19
97,Bruno Amione,ar,DF,,Hellas Verona,Serie A,20,2002,1,1,58,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,Bruno Amione,ar,DF,,Sampdoria,Serie A,20,2002,26,25,2086,23.2,1,1,2,1,0,0,10,1,0.9,0.9,0.6,1.5,11,54,9,0.04,0.04,0.09,0.04,0.09,0.04,0.03,0.06,0.04,0.06
99,Nadiem Amiri,de,MF,FW,Leverkusen,Bundesliga,25,1996,25,9,977,10.9,4,1,5,3,1,1,6,0,1.9,1.1,1.1,2.2,30,55,30,0.37,0.09,0.46,0.28,0.37,0.17,0.10,0.27,0.10,0.20
100,Samuel Amo-Ameyaw,eng,MF,,Southampton,Premier League,16,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.86,0.00,0.86
101,Ethan Ampadu,wls,DF,MF,Spezia,Serie A,21,2000,31,31,2639,29.3,0,1,1,0,0,0,10,1,1.1,1.1,1.1,2.2,28,125,10,0.00,0.03,0.03,0.00,0.03,0.04,0.04,0.07,0.04,0.07
102,Sofyan Amrabat,ma,MF,,Fiorentina,Serie A,25,1996,29,24,1998,22.2,0,1,1,0,0,0,11,0,0.5,0.5,1.1,1.6,36,176,24,0.00,0.05,0.05,0.00,0.05,0.02,0.05,0.07,0.02,0.07
103,Ayoub Amraoui,ma,DF,FW,Nice,Ligue 1,18,2004,7,3,294,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,13,18,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
104,Joachim Andersen,dk,DF,,Crystal Palace,Premier League,26,1996,32,32,2782,30.9,1,0,1,1,0,0,8,0,1.8,1.8,1.3,3.1,16,105,7,0.03,0.00,0.03,0.03,0.03,0.06,0.04,0.10,0.06,0.10
105,Elliot Anderson,eng,MF,FW,Newcastle Utd,Premier League,19,2002,22,3,410,4.6,0,1,1,0,0,0,0,0,1.0,1.0,1.3,2.3,23,24,35,0.00,0.22,0.22,0.00,0.22,0.22,0.28,0.50,0.22,0.50
106,Felipe Anderson,br,FW,,Lazio,Serie A,29,1993,38,35,2958,32.9,9,2,11,9,0,0,3,0,6.0,6.0,4.8,10.9,83,114,224,0.27,0.06,0.33,0.27,0.33,0.18,0.15,0.33,0.18,0.33
107,Benjamin André,fr,MF,,Lille,Ligue 1,31,1990,34,33,2916,32.4,1,1,2,1,0,0,12,0,1.6,1.6,1.8,3.4,41,309,46,0.03,0.03,0.06,0.03,0.06,0.05,0.06,0.11,0.05,0.11
108,Marcos André,br,FW,MF,Valencia,La Liga,25,1996,17,3,447,5.0,1,0,1,1,0,0,2,1,1.5,1.3,0.4,1.8,2,7,20,0.20,0.00,0.20,0.20,0.20,0.29,0.09,0.38,0.27,0.36
109,Komnen Andrić,rs,FW,,Clermont Foot,Ligue 1,27,1995,34,16,1446,16.1,4,3,7,3,1,2,4,0,5.5,3.9,0.9,4.8,8,27,88,0.25,0.19,0.44,0.19,0.37,0.34,0.06,0.39,0.24,0.30
110,Robert Andrich,de,MF,,Leverkusen,Bundesliga,27,1994,29,28,2406,26.7,2,2,4,2,0,0,7,0,1.6,1.6,1.2,2.8,12,99,8,0.07,0.07,0.15,0.07,0.15,0.06,0.04,0.11,0.06,0.11
